Sample,ImageFile
C1,scene_13_image.tif
C2,scene_13_image.tif
C4,scene_13_image.tif
B7,scene_09_image.tif
B9,scene_09_image.tif
B13,scene_09_image.tif
B15,scene_09_image.tif
B17,scene_09_image.tif
B22,scene_09_image.tif
B26,scene_09_image.tif
A33,scene_13_image.tif
A37,scene_01_image.tif
B1,scene_09_image.tif
B3,scene_09_image.tif
B24,scene_09_image.tif
A27,scene_01_image.tif
A39,scene_01_image.tif
A41,scene_01_image.tif
A45,scene_01_image.tif
A47,scene_01_image.tif
C5,scene_13_image.tif
C6,scene_13_image.tif
C7,scene_13_image.tif
A10,scene_01_image.tif
A11,scene_02_image.tif
A15,scene_02_image.tif
A19,scene_02_image.tif
A21,scene_02_image.tif
B21,scene_09_image.tif
A51,scene_01_image.tif
C3,scene_13_image.tif
A2,scene_01_image.tif
A17,scene_02_image.tif
A23,scene_02_image.tif
A29,scene_02_image.tif
A30,scene_02_image.tif
A7,scene_01_image.tif
C8,scene_13_image.tif
